from_ts,to_ts,gap_seconds,from_time_id,to_time_id,from_file,to_file
2026-04-17 09:41:13,2026-04-17 09:59:41,1108,3,1,time_20260417_093820_001.csv,time_20260417_095849_001.csv
2026-04-17 10:01:41,2026-04-17 10:04:45,184,3,1,time_20260417_095849_001.csv,time_20260417_100352_001.csv
2026-04-17 10:05:45,2026-04-17 13:06:11,10826,2,1,time_20260417_100352_001.csv,time_20260417_130519_001.csv
2026-04-17 13:09:12,2026-04-17 13:11:56,164,4,1,time_20260417_130519_001.csv,time_20260417_131102_001.csv
2026-04-17 13:13:56,2026-04-17 13:16:30,154,3,1,time_20260417_131102_001.csv,time_20260417_131540_001.csv
2026-04-17 13:17:30,2026-04-17 13:20:35,185,2,1,time_20260417_131540_001.csv,time_20260417_131941_001.csv
2026-04-17 13:22:35,2026-04-17 14:10:36,2881,3,1,time_20260417_131941_001.csv,time_20260417_141036_001.csv
2026-04-17 14:10:36,2026-04-17 14:16:50,374,1,1,time_20260417_141036_001.csv,time_20260417_141559_001.csv
2026-04-17 14:16:50,2026-04-17 14:33:39,1009,1,1,time_20260417_141559_001.csv,time_20260417_143247_001.csv
2026-04-17 14:54:40,2026-04-17 14:56:40,120,22,24,time_20260417_143247_001.csv,time_20260417_143247_001.csv
2026-04-17 15:31:40,2026-04-21 16:28:56,349036,59,1,time_20260417_143247_001.csv,time_20260421_162806_001.csv
2026-04-21 16:29:56,2026-04-21 16:36:01,365,2,1,time_20260421_162806_001.csv,time_20260417_131243_001.csv
2026-04-21 17:00:02,2026-04-21 17:02:18,136,25,1,time_20260417_131243_001.csv,time_20260421_170125_001.csv
2026-04-23 13:38:19,2026-04-24 16:17:22,95943,2676,1,time_20260421_170125_003.csv,time_20260424_161629_001.csv
2026-04-24 16:31:22,2026-04-24 16:33:59,157,15,1,time_20260424_161629_001.csv,time_20260424_163307_001.csv
2026-04-24 16:44:59,2026-04-24 16:47:36,157,12,1,time_20260424_163307_001.csv,time_20260424_164645_001.csv
2026-04-24 16:47:36,2026-04-24 16:52:04,268,1,1,time_20260424_164645_001.csv,time_20260424_165112_001.csv
2026-04-24 16:54:04,2026-04-24 16:55:38,94,3,1,time_20260424_165112_001.csv,time_20260424_165446_001.csv
2026-04-24 16:56:38,2026-04-24 16:59:22,164,2,1,time_20260424_165446_001.csv,time_20260424_165832_001.csv
2026-04-24 16:59:22,2026-04-24 17:02:05,163,1,1,time_20260424_165832_001.csv,time_20260424_170112_001.csv
2026-04-24 17:03:05,2026-04-24 17:05:45,160,2,1,time_20260424_170112_001.csv,time_20260424_170451_001.csv
2026-04-24 17:06:45,2026-04-24 17:08:47,122,2,1,time_20260424_170451_001.csv,time_20260424_170754_001.csv
2026-04-27 15:18:40,2026-04-27 16:38:16,4776,4202,1,time_20260424_170754_005.csv,time_20260427_163724_001.csv
2026-04-27 17:11:34,2026-04-27 17:13:53,139,33,1,time_20260427_163724_001.csv,time_20260427_171303_001.csv
2026-04-27 17:16:00,2026-04-27 17:19:01,181,3,1,time_20260427_171303_001.csv,time_20260427_171810_001.csv
2026-04-27 17:19:01,2026-04-27 17:22:03,182,1,1,time_20260427_171810_001.csv,time_20260427_172112_001.csv
2026-04-27 17:33:37,2026-04-27 17:35:48,131,12,1,time_20260427_172112_001.csv,time_20260427_173454_001.csv
2026-04-27 17:39:48,2026-04-28 09:46:53,58025,5,1,time_20260427_173454_001.csv,time_20260428_094601_001.csv
2026-04-28 10:49:54,2026-04-28 10:58:35,521,64,1,time_20260428_094601_001.csv,time_20260428_105743_001.csv
2026-04-28 11:24:36,2026-04-28 11:27:44,188,27,1,time_20260428_105743_001.csv,time_20260428_112653_001.csv
2026-04-28 11:30:44,2026-04-28 11:32:59,135,4,1,time_20260428_112653_001.csv,time_20260428_113209_001.csv
2026-04-28 11:43:59,2026-04-28 11:46:28,149,12,1,time_20260428_113209_001.csv,time_20260428_114537_001.csv
2026-04-28 11:50:28,2026-04-28 11:52:50,142,5,1,time_20260428_114537_001.csv,time_20260428_115200_001.csv
2026-04-28 12:05:50,2026-04-28 12:08:22,152,14,1,time_20260428_115200_001.csv,time_20260428_120730_001.csv
2026-04-28 13:48:24,2026-04-28 14:08:33,1209,101,1,time_20260428_120730_001.csv,time_20260428_140738_001.csv
2026-04-28 14:19:33,2026-04-28 14:23:10,217,12,1,time_20260428_140738_001.csv,time_20260428_142215_001.csv
2026-04-28 14:37:11,2026-04-28 15:29:55,3164,15,1,time_20260428_142215_001.csv,time_20260428_152859_001.csv
2026-04-29 15:39:18,2026-05-04 15:09:29,430211,1437,1,time_20260428_154216_002.csv,time_20260504_150833_001.csv
2026-05-04 15:13:29,2026-05-04 15:41:34,1685,5,1,time_20260504_150833_001.csv,time_20260504_153728_001.csv
2026-05-04 15:43:34,2026-05-04 15:45:56,142,3,1,time_20260504_153728_001.csv,time_20260504_153728_001.csv
2026-05-04 15:55:26,2026-05-04 16:45:35,3009,6,1,time_20260504_153728_001.csv,time_20260504_153728_001.csv
2026-05-04 16:47:35,2026-05-05 14:48:47,79272,3,1,time_20260504_153728_001.csv,time_20260505_103112_001.csv
2026-05-05 14:48:47,2026-05-05 16:26:26,5859,1,1,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-05 16:26:26,2026-05-05 16:30:54,268,1,2,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-05 16:30:54,2026-05-05 16:35:18,264,2,1,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-05 16:35:18,2026-05-05 16:39:46,268,1,1,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-05 16:41:03,2026-05-05 16:42:46,103,2,3,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-05 16:44:07,2026-05-05 16:46:11,124,4,5,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-05 16:46:11,2026-05-05 16:50:00,229,5,1,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-05 16:56:51,2026-05-05 16:58:56,125,7,8,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-05 16:58:56,2026-05-06 15:56:21,82645,8,1,time_20260505_103112_001.csv,time_20260505_103112_001.csv
2026-05-06 15:57:21,2026-05-06 15:59:46,145,2,1,time_20260505_103112_001.csv,time_20260506_155642_001.csv
2026-05-06 16:04:46,2026-05-06 16:16:44,718,6,1,time_20260506_155642_001.csv,time_20260506_155642_001.csv
2026-05-07 14:02:55,2026-05-07 14:07:08,253,1307,1,time_20260506_155642_002.csv,time_20260507_132338_001.csv
2026-05-07 14:11:09,2026-05-07 14:13:33,144,5,1,time_20260507_132338_001.csv,time_20260507_140632_001.csv
2026-05-07 14:38:36,2026-05-07 14:40:52,136,26,1,time_20260507_140632_001.csv,time_20260507_143409_001.csv
2026-05-07 14:42:52,2026-05-07 14:46:00,188,3,1,time_20260507_143409_001.csv,time_20260507_143409_001.csv
2026-05-07 14:46:59,2026-05-07 14:49:56,177,2,1,time_20260507_143409_001.csv,time_20260507_144713_001.csv
2026-05-07 15:57:22,2026-05-07 16:01:06,224,66,1,time_20260507_144713_001.csv,time_20260507_152426_001.csv
2026-05-08 10:27:44,2026-05-08 10:30:58,194,1106,1107,time_20260507_152426_002.csv,time_20260507_152426_002.csv
2026-05-08 12:43:10,2026-05-08 12:44:53,103,1239,1240,time_20260507_152426_002.csv,time_20260507_152426_002.csv
2026-05-10 06:37:32,2026-05-10 20:22:34,49502,3749,4573,time_20260507_152426_004.csv,time_20260507_152426_005.csv
2026-05-12 09:03:32,2026-05-12 18:10:15,32803,6771,7317,time_20260507_152426_007.csv,time_20260507_152426_008.csv
2026-05-13 15:04:12,2026-05-13 15:11:04,412,8569,1,time_20260507_152426_009.csv,time_20260513_151008_001.csv
2026-05-13 15:15:04,2026-05-13 15:24:48,584,5,1,time_20260513_151008_001.csv,time_20260513_152145_001.csv
2026-05-13 15:40:49,2026-05-13 15:43:43,174,17,1,time_20260513_152145_001.csv,time_20260513_152145_001.csv
2026-05-27 13:53:54,2026-05-27 13:56:18,144,20035,20036,time_20260513_152145_021.csv,time_20260513_152145_021.csv
2026-06-01 14:26:41,2026-06-01 17:24:21,10660,27260,1,time_20260513_152145_028.csv,time_20260513_152145_001.csv
2026-06-03 13:56:01,2026-06-03 13:57:36,95,2671,2672,time_20260513_152145_003.csv,time_20260513_152145_003.csv
2026-06-03 13:58:36,2026-06-03 14:01:37,181,2673,2674,time_20260513_152145_003.csv,time_20260513_152145_003.csv
2026-06-03 14:02:37,2026-06-03 14:07:25,288,2675,2676,time_20260513_152145_003.csv,time_20260513_152145_003.csv
2026-06-03 14:41:12,2026-06-03 14:43:22,130,2709,2710,time_20260513_152145_003.csv,time_20260513_152145_003.csv
