timestamp,event,elapsed,temperature,event_id
2026-05-07 15:24:26,SESSION_START,00:00:00,,0
2026-05-07 15:24:26,BOOT,00:00:00,,1
2026-05-07 17:24:26,TEMP_BELOW_THRESHOLD,00:00:00,18.0,3
2026-05-07 15:24:26,SESSION_START,00:00:00,,0
2026-05-07 15:24:26,BOOT,00:00:00,,1
2026-05-07 16:00:11,TEMP_BELOW_THRESHOLD,00:00:00,18.1,3
2026-05-08 10:28:00,SENSOR_LOST,00:00:00,,4
2026-05-08 10:30:58,TEMP_BELOW_THRESHOLD,00:02:58,18.2,6
2026-05-08 10:31:32,SENSOR_LOST,00:00:00,,7
2026-05-08 10:31:33,TEMP_BELOW_THRESHOLD,00:00:01,18.0,9
2026-05-08 12:42:25,SENSOR_LOST,00:00:00,,10
2026-05-08 12:42:37,TEMP_BELOW_THRESHOLD,00:00:12,18.5,12
2026-05-08 12:43:46,SENSOR_LOST,00:00:00,,13
2026-05-08 12:44:53,TEMP_BELOW_THRESHOLD,00:01:07,18.5,15
2026-05-08 12:45:59,SENSOR_LOST,00:00:00,,16
2026-05-08 12:46:02,TEMP_BELOW_THRESHOLD,00:00:03,18.5,18
2026-05-08 12:46:50,SENSOR_LOST,00:00:00,,19
2026-05-08 12:46:52,TEMP_BELOW_THRESHOLD,00:00:02,18.5,21
2026-05-08 12:47:09,SENSOR_LOST,00:00:00,,22
2026-05-08 12:47:10,TEMP_BELOW_THRESHOLD,00:00:01,18.6,24
2026-05-08 12:47:53,SENSOR_LOST,00:00:00,,25
2026-05-08 12:47:59,TEMP_BELOW_THRESHOLD,00:00:06,18.7,27
2026-05-08 12:50:02,SENSOR_LOST,00:00:00,,28
2026-05-08 12:50:11,TEMP_BELOW_THRESHOLD,00:00:09,18.4,30
2026-05-07 15:24:26,SESSION_START,00:00:00,,0
2026-05-07 15:24:26,BOOT,00:00:00,,1
2026-05-07 17:24:26,TEMP_BELOW_THRESHOLD,00:00:00,17.3,3
